month,day,trips,avg_fare,avg_distance
10,30,119589,16.89267006165675,9.18541320690026
10,31,102310,18.069488319839866,8.29387889746851
11,1,106500,18.286661032892727,6.517653051643208
11,2,115847,16.707218745444003,5.046459468091488
11,3,121839,17.316557424171826,4.148832968097236
11,4,127917,17.79875161239821,5.166079332692302
11,5,129921,18.066232556727577,7.3397944904980115
11,6,131460,16.761390004594244,5.38530541609617
11,7,100647,19.095722376253892,6.593949447077418
11,8,106822,18.607518020662464,9.701106326412171
11,9,118745,17.807064465902613,10.384402795907198
11,10,126617,18.14525458668972,6.327501125441292
11,11,123715,18.42010039205288,4.358182273774405
11,12,128010,17.942593781758994,6.60526443246623
11,13,132310,17.21486267102535,6.34858846648024
11,14,109696,18.82903378430613,7.0922429259042925
11,15,114815,18.460096328907724,8.067100553063652
11,16,122702,17.910908298182928,12.269605385405288
11,17,126605,17.994879902082065,5.35840266972083
11,18,133377,18.279697174187714,7.213772989346036
11,19,135462,18.297489997205805,5.3545197177067925
11,20,131453,17.536211801960633,7.9300976014240865
11,21,105078,18.599031957241344,12.092747006985253
11,22,112469,18.042545501457283,11.931725453236044
11,23,120235,18.493242649840127,12.223398677589637
11,24,108411,18.342221269088714,10.738601156709187
11,25,70312,18.089455996151987,10.847613636363642
11,26,89887,17.441497769446787,6.720926162848971
11,27,104505,17.92857863263055,6.004095402133898
11,28,90990,19.706515990796095,5.851004176283067
11,29,107130,18.83527770002126,7.453794922057394
11,30,119420,18.407384860187392,4.776394657511311
12,1,122007,18.322208561831268,9.268576311195256
12,2,128647,18.607281864340553,9.590563168981841
12,3,136231,18.191114797667748,8.418163780637222
12,4,132392,17.542466312183844,5.966328856728488
12,5,109654,19.23107675053578,6.032032939974816
12,6,112665,18.60894687794325,5.858836284560404
12,7,126650,17.907526648265563,8.333780813264893
12,8,131663,18.177354154179426,7.071593613999398
12,9,134724,18.638474733533222,6.68705167601914
12,10,133497,18.80319827412366,5.864068480939709
12,11,130247,17.737227652098326,9.508033044906979
12,12,107167,19.404911120057537,6.2288641092873425
12,13,111299,18.475125383008088,4.289563248546735
12,14,120218,17.91630920497443,8.472384002395618
12,15,125053,18.035059934613653,7.843675881426283
12,16,126270,18.46685412213909,5.083376336421953
12,17,124147,18.56251242481012,4.298876493189515
12,18,110282,17.345717252164814,6.145036724034756
12,19,91202,18.600633758058322,9.016265432775638
12,20,94213,18.162906605272195,10.213103711801924
12,21,93095,17.798964820907837,9.85240206240941
12,22,91699,17.809511881289282,6.790766202466759
12,23,87850,17.797287080275062,8.421516448491717
12,24,69619,16.87942630605557,9.110751949898745
12,25,40807,19.064734971946418,13.944280148013833
12,26,54705,19.81156603602582,7.054452426652071
12,27,69897,18.747302173218912,5.177865859765096
12,28,75037,18.594793235359894,3.7234584271759075
12,29,74989,18.479262825236766,3.681427809412042
12,30,77968,18.550905499715796,6.510600246254899
12,31,70505,17.69488390896383,7.643267711509846
